,first_algo,bsl_algo,xgb_bsl,knn_bsl_u,knn_bsl_m,xgb_knn_bsl,svd,svdpp,xgb_final,xgb_all_models
rmse,1.1016770831525975,1.0730330260516174,1.1000463052939882,1.0726493739667242,1.072758832653683,1.0887576141058135,1.0726046873826458,1.0728491944183447,1.0858226171103014,1.0753789980923527
mape,33.379025364595144,35.04995544572911,33.440093738533456,35.02094499698424,35.02269653015042,33.83328394123822,35.01953535988152,35.03817913919887,33.98041189391535,35.049538657450555
predictions,[3.341802 3.341802 3.341802 ... 3.341802 3.341802 3.341802],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.3470905 3.3470905 3.3470905 ... 3.3470905 3.3470905 3.3470905],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.4084466 3.4084466 3.4084466 ... 3.4084466 3.4084466 3.4084466],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.4316347 3.4316347 3.4316347 ... 3.4316347 3.4316347 3.4316347],[3.5650537 3.5650537 3.5650537 ... 3.5650537 3.5650537 3.5650537]
